joint_value_FR_Thigh,accel_x,accel_y,accel_z,foot_force,"Label (stand : 1, Sit : 0)"
-0.665185192,0.167594,-0.0694318,8.78433,27,1
-0.666511936,0.167594,-0.0694318,8.78433,27,1
-0.684672366,0.158017,-0.00837971,8.93636,27,1
-0.681521596,0.158017,-0.00837971,8.93636,27,1
-0.694862247,0.158017,-0.00837971,8.93636,27,1
-0.660262936,0.158017,-0.00837971,8.93636,27,1
-0.688066113,0.0885855,0.0011971,8.99861,27,1
-0.682634772,0.0885855,0.0011971,8.99861,27,1
-0.680268146,0.102951,-0.0454898,9.07881,28,1
-0.65616719,0.102951,-0.0454898,9.07881,28,1
-0.654031378,0.0957681,-0.0646434,9.02255,28,1
-0.663767435,0.0957681,-0.0646434,9.02255,28,1
-0.690613954,0.0742203,-0.0143652,8.98065,28,1
-0.695534245,0.0742203,-0.0143652,8.98065,28,1
-0.66062476,0.0742203,-0.0143652,8.98065,28,1
-0.695420712,0.0227449,0.0658405,9.09078,28,1
-0.666613882,0.0227449,0.0658405,9.09078,28,1
-0.692678447,0.0395043,0.0634463,9.14705,28,1
-0.697924298,0.0395043,0.0634463,9.14705,29,1
-0.698175628,0.0395043,0.0634463,9.14705,29,1
-0.667839215,0.0251391,0.122104,9.25119,29,1
-0.675600089,0.0251391,0.122104,9.25119,29,1
-0.687586074,0.0814029,0.0574608,9.30985,29,1
-0.672772284,0.0814029,0.0574608,9.30985,29,1
-0.65439404,0.0814029,0.0574608,9.30985,29,1
-0.67252186,0.0873884,0.0586579,9.4559,29,1
-0.693648179,0.0873884,0.0586579,9.4559,29,1
-0.685190149,0.0694318,0.0299275,9.40921,29,1
-0.68160446,0.0694318,0.0299275,9.40921,29,1
-0.698453767,0.0694318,0.0299275,9.40921,29,1
-0.69184033,0.105345,0.0035913,9.49899,29,1
-0.652115849,0.105345,0.0035913,9.49899,29,1
-0.656708825,0.113725,0.0430956,9.48104,29,1
-0.68676417,0.113725,0.0430956,9.48104,29,1
-0.65399507,0.113725,0.0430956,9.48104,29,1
-0.663096986,0.113725,0.00718261,9.46428,29,1
-0.678641567,0.113725,0.00718261,9.46428,29,1
-0.675522849,0.113725,0.00718261,9.46428,29,1
-0.690539293,0.0885855,-0.0418985,9.48583,29,1
-0.689537811,0.0885855,-0.0418985,9.48583,29,1
-0.676836688,0.0706289,-0.0909797,9.48702,29,1
-0.664035694,0.0706289,-0.0909797,9.48702,29,1
-0.665299556,0.101754,-0.168791,9.40083,29,1
-0.663534137,0.101754,-0.168791,9.40083,29,1
-0.692539077,0.101754,-0.168791,9.40083,29,1
-0.697149069,0.0610521,-0.0981623,9.34218,29,1
-0.653884354,0.0610521,-0.0981623,9.34218,29,1
-0.659499163,0.0658405,-0.0921768,9.25718,29,1
-0.69045399,0.0658405,-0.0921768,9.25718,29,1
